City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,jackson,75,US,1552581620,83,35.61,-88.82,73.4,19.46
1,sabang,32,PH,1552581757,98,13.72,123.58,73.81,6.29
2,punta arenas,40,CL,1552581201,71,-53.16,-70.91,55.4,12.75
3,port elizabeth,1,US,1552581752,58,39.31,-74.98,68,6.93
4,port lincoln,20,AU,1552581758,100,-34.72,135.86,59.19,7.74
5,jamestown,0,AU,1552581645,79,-33.21,138.6,45.78,5.61
6,rikitea,100,PF,1552581759,100,-23.12,-134.97,75.34,17.36
7,westport,75,IE,1552581724,87,53.8,-9.52,46.99,17.22
8,albany,75,US,1552581604,49,42.65,-73.75,54,9.17
9,ushuaia,20,AR,1552579200,58,-54.81,-68.31,55.4,6.85
10,camopi,92,GF,1552581760,81,3.17,-52.33,80.47,2.93
11,kendari,68,ID,1552581761,88,-3.99,122.52,73.81,3.04
12,codrington,0,AU,1552581510,94,-28.95,153.24,69.01,5.82
13,visnes,75,NO,1552581720,93,59.36,5.22,43,3.36
14,north augusta,1,CA,1552581668,65,44.76,-75.74,52,3.36
15,yellowknife,20,CA,1552581608,76,62.45,-114.38,1,5.82
16,atuona,20,PF,1552581762,100,-9.8,-139.03,82.09,15.46
17,filingue,76,NE,1552581763,23,14.35,3.32,94.29,4.83
18,gairatganj,8,IN,1552581763,90,23.42,78.24,59.59,2.26
19,kodiak,90,US,1552581723,100,39.95,-94.76,37.99,23.04
20,faanui,64,PF,1552581764,100,-16.48,-151.75,81.46,10.65
21,dukat,24,RS,1552581586,75,42.44,22.31,39.99,3
22,miri,0,NG,1552581764,19,10.31,9.75,85.69,7.18
23,upernavik,64,GL,1552581765,100,72.79,-56.15,-0.67,2.15
24,hilo,90,US,1552581737,88,19.71,-155.08,66.2,4.7
25,porto san giorgio,0,IT,1552581726,50,43.18,13.79,55.4,4.7
26,butaritari,92,KI,1552581766,100,3.07,172.79,78.9,12.21
